k	dataset	cluster.size	sindex	noisen	diameter	average.distance	median.distance	average.between	average.within	within.cluster.ss	clus.avg.silwidths	avg_sil	dunn	dunn2	entropy	wb.ratio
k14	3	5, 18, 9, 17, 8, 17, 4, 8, 16, 9, 1, 15, 21, 4	0	0	1.03, 1.17, 1.04, 1.05, 1.04, 1.05, 1.03, 1.05, 1.05, 1.06, NA, 1.04, 1.04, 1.04	1.02, 0.76, 0.72, 0.73, 0.96, 0.76, 0.93, 0.95, 0.84, 0.99, NaN, 1, 0.86, 1.02	1.02, 1, 0.92, 0.74, 1.02, 1.01, 0.95, 1.02, 1.01, 1.02, NA, 1.02, 1.01, 1.01	0.9	0.85	56.53	-0.19, -0.01, 0.01, 0.16, -0.12, -0.04, -0.16, -0.13, -0.07, -0.12, 0, -0.14, -0.06, -0.24	-0.08	0	0.73	2.46	0.95
k15	3	8, 7, 4, 8, 13, 1, 15, 15, 6, 9, 19, 17, 17, 4, 9	0	0	1.05, 1.03, 1.03, 1.04, 1.04, NA, 1.05, 1.05, 1.06, 1.05, 1.04, 1.09, 1.05, 1.04, 1.06	0.97, 0.46, 1.02, 0.96, 1, NaN, 0.84, 0.86, 0.9, 0.93, 0.84, 0.74, 0.73, 1.02, 0.99	1.02, 0, 1.02, 1.02, 1.02, NA, 1.01, 1.02, 0.94, 1.01, 1.01, 1, 0.74, 1.01, 1.02	0.9	0.85	55.86	-0.27, 0.17, -0.3, -0.27, -0.28, 0, -0.22, -0.22, -0.22, -0.26, -0.2, -0.14, 0, -0.32, -0.28	-0.19	0	0.61	2.56	0.95
k2	4	70, 82	0	0	1.27, 1.5	0.68, 0.65	0.7, 0.93	0.73	0.66	44.52	0.07, 0.07	0.07	0	1.07	0.69	0.91
k3	4	52, 56, 44	0	0	1.18, 1.5, 1.29	0.65, 0.54, 0.83	0.67, 0.84, 0.88	0.72	0.66	43.75	0.04, 0.15, -0.17	0.01	0	0.83	1.09	0.93
k4	4	45, 36, 36, 35	0	0	1.17, 1.16, 1.31, 1.29	0.51, 0.67, 0.64, 0.81	0.71, 0.65, 0.74, 0.89	0.71	0.65	42.11	0.15, 0.01, -0.04, -0.18	-0.01	0	0.81	1.38	0.91
k5	4	43, 1, 38, 33, 37	0	0	1.17, NA, 1.31, 1.29, 1.16	0.56, NaN, 0.59, 0.79, 0.68	0.9, NA, 0.68, 0.85, 0.69	0.71	0.65	41.64	0.08, 0, 0.02, -0.16, -0.02	-0.02	0	0.82	1.41	0.91
k6	4	32, 1, 32, 26, 18, 43	0	0	1.16, NA, 1.29, 1.17, 1.13, 1.16	0.68, NaN, 0.84, 0.63, 0.23, 0.66	0.97, NA, 0.88, 0.72, 0, 0.66	0.7	0.65	41.26	-0.33, 0, -0.41, -0.24, 0.21, -0.22	-0.16	0	0.49	1.6	0.93
k7	4	1, 28, 34, 24, 32, 18, 15	0	0	NA, 1.16, 1.04, 1.18, 1.29, 1.13, 1.08	NaN, 0.7, 0.58, 0.62, 0.86, 0.23, 0.74	NA, 0.98, 0.57, 0.71, 0.91, 0, 0.89	0.7	0.64	40.42	0, -0.34, -0.11, -0.23, -0.43, 0.21, -0.37	-0.18	0	0.49	1.78	0.92
k8	4	26, 13, 18, 29, 26, 8, 31, 1	0	0	1.16, 1.07, 1.13, 1.29, 0.95, 1.34, 1.18, NA	0.68, 0.75, 0.23, 0.86, 0.44, 0.49, 0.71, NaN	0.97, 0.91, 0, 0.91, 0.46, 0.68, 0.72, NA	0.7	0.62	38.23	-0.33, -0.37, 0.18, -0.43, 0.12, -0.18, -0.3, 0	-0.16	0	0.43	1.9	0.89
k9	4	25, 14, 18, 26, 7, 23, 1, 23, 15	0	0	1.16, 1.15, 1.13, 0.95, 1.11, 1.29, NA, 1.1, 1.5	0.67, 0.51, 0.23, 0.44, 0.92, 0.82, NaN, 0.68, 0.92	0.97, 0.66, 0, 0.46, 0.95, 0.83, NA, 0.68, 0.97	0.71	0.63	37.99	-0.33, -0.2, 0.19, 0.12, -0.45, -0.41, 0, -0.27, -0.46	-0.2	0	0.41	2.05	0.89
k10	4	13, 25, 6, 17, 6, 23, 26, 12, 23, 1	0	0	1.07, 1.16, 1.5, 1.13, 1.05, 1.29, 0.95, 1.06, 1.15, NA	0.49, 0.67, 1, 0.21, 0.92, 0.85, 0.44, 0.75, 0.71, NaN	0.64, 0.97, 1, 0, 0.96, 0.88, 0.46, 0.79, 0.72, NA	0.71	0.63	37.71	-0.22, -0.36, -0.54, 0.19, -0.49, -0.45, 0.09, -0.37, -0.35, 0	-0.25	0	0.35	2.11	0.89
k11	4	25, 5, 24, 6, 4, 16, 1, 12, 20, 22, 17	0	0	0.95, 1.01, 1.16, 1.5, 1.03, 1.18, NA, 1.07, 1.1, 1.29, 1.13	0.43, 0.77, 0.66, 1.01, 1.01, 0.77, NaN, 0.47, 0.7, 0.84, 0.21	0.46, 0.82, 0.97, 1.01, 1.01, 0.85, NA, 0.59, 0.72, 0.87, 0	0.71	0.63	37.43	0.1, -0.39, -0.35, -0.55, -0.54, -0.39, 0, -0.2, -0.33, -0.45, 0.19	-0.26	0	0.34	2.19	0.89
k12	4	17, 23, 1, 12, 19, 16, 17, 6, 12, 25, 4	0	0	1.29, 1.16, NA, 1.5, 1.1, 1.18, 1.13, 1.19, 1.07, 0.95, 1.05	0.87, 0.66, NaN, 0.91, 0.69, 0.75, 0.21, 0.78, 0.47, 0.43, 1.01	0.94, 0.97, NA, 0.98, 0.71, 0.81, 0, 0.82, 0.59, 0.46, 1.01	0.71	0.63	37.64	-0.47, -0.35, 0, -0.49, -0.32, -0.37, 0.19, -0.39, -0.2, 0.1, -0.54	-0.26	0	0.34	2.23	0.89
k13	4	4, 8, 16, 18, 17, 10, 11, 2, 19, 1, 25, 20, 1	0	0	1.01, 1.03, 1.18, 1.29, 1.13, 1.04, 1.5, 1.01, 1.16, NA, 0.95, 1.1, NA	0.81, 0.34, 0.75, 0.86, 0.21, 0.51, 0.93, 1.01, 0.78, NaN, 0.43, 0.7, NaN	0.77, 0, 0.81, 0.92, 0, 0.65, 1, 1.01, 1, NA, 0.46, 0.72, NA	0.7	0.63	36.72	-0.43, -0.1, -0.4, -0.47, 0.12, -0.23, -0.5, -0.55, -0.42, 0, 0.1, -0.39, 0	-0.25	0	0.28	2.3	0.89
k14	4	5, 18, 9, 17, 8, 17, 4, 8, 16, 9, 1, 15, 21, 4	0	0	1.01, 1.16, 1.04, 1.13, 1.03, 1.1, 1.03, 0.88, 1.29, 1.24, NA, 1.18, 0.95, 1.16	0.67, 0.77, 0.46, 0.21, 0.34, 0.74, 0.92, 0.56, 0.87, 0.87, NaN, 0.74, 0.44, 0.97	0.64, 1, 0.59, 0, 0, 0.78, 0.98, 0.57, 0.93, 0.91, NA, 0.82, 0.47, 1	0.7	0.62	36.21	-0.3, -0.41, -0.17, 0.12, -0.1, -0.36, -0.49, -0.2, -0.47, -0.47, 0, -0.37, 0.05, -0.53	-0.26	0	0.29	2.46	0.89
k15	4	8, 7, 4, 8, 13, 1, 15, 15, 6, 9, 19, 17, 17, 4, 9	0	0	0.73, 1.05, 1.01, 1.03, 1.18, NA, 1.29, 1.1, 1.03, 1.04, 0.95, 1.16, 1.13, 1.16, 1.24	0.49, 0.88, 0.68, 0.34, 0.75, NaN, 0.87, 0.7, 0.53, 0.48, 0.44, 0.87, 0.21, 0.97, 0.87	0.52, 0.89, 0.66, 0, 0.84, NA, 0.93, 0.71, 0.6, 0.65, 0.47, 1.01, 0, 1, 0.91	0.7	0.63	36.56	-0.15, -0.48, -0.33, -0.1, -0.38, 0, -0.47, -0.33, -0.2, -0.2, 0, -0.47, 0.12, -0.53, -0.47	-0.27	0	0.29	2.56	0.89
k2	5	70, 82	0.69	0	1.15, 1.17	0.91, 0.92	0.92, 0.92	0.98	0.92	63.74	0.07, 0.06	0.07	0.57	1.07	0.69	0.93
k3	5	52, 56, 44	0.73	0	1.06, 1.17, 1.12	0.88, 0.9, 0.87	0.88, 0.9, 0.87	0.98	0.88	58.62	0.1, 0.03, 0.1	0.08	0.59	1.08	1.09	0.9
